base_dir	moduleclass	module	version	toolchain	toolchainversion	versionsuffix	ebfile
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	ai	Ax	0.3.3	foss	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Ax/Ax-0.3.3-foss-2022a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/b	ai	Braindecode	0.7	foss	2021a	-PyTorch-1.10.0-CUDA-11.3.1	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/b/Braindecode/Braindecode-0.7-foss-2021a-PyTorch-1.10.0-CUDA-11.3.1.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/b	ai	Braindecode	0.7	foss	2021a	-PyTorch-1.10.0	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/b/Braindecode/Braindecode-0.7-foss-2021a-PyTorch-1.10.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/b	ai	Braindecode	0.8.1	foss	2023a	-PyTorch-2.1.2	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/b/Braindecode/Braindecode-0.8.1-foss-2023a-PyTorch-2.1.2.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	ai	captum	0.5.0	foss	2022a	-CUDA-11.7.0	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/captum/captum-0.5.0-foss-2022a-CUDA-11.7.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	ai	captum	0.5.0	foss	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/captum/captum-0.5.0-foss-2022a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	ai	CatBoost	1.2	gfbf	2023a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/CatBoost/CatBoost-1.2-gfbf-2023a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	ai	CatLearn	0.6.2	intel	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/CatLearn/CatLearn-0.6.2-intel-2022a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	ai	colossalai	0.1.8	foss	2021a	-CUDA-11.3.1	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/colossalai/colossalai-0.1.8-foss-2021a-CUDA-11.3.1.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d	ai	denseweight	0.1.2	foss	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d/denseweight/denseweight-0.1.2-foss-2022a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d	ai	denseweight	0.1.2	foss	2023a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d/denseweight/denseweight-0.1.2-foss-2023a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d	ai	DGL	0.9.1	foss	2021a	-CUDA-11.3.1	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d/DGL/DGL-0.9.1-foss-2021a-CUDA-11.3.1.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d	ai	DiCE-ML	0.9	foss	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d/DiCE-ML/DiCE-ML-0.9-foss-2022a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/g	ai	GKlib-METIS	5.1.1	GCCcore	11.3.0		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/g/GKlib-METIS/GKlib-METIS-5.1.1-GCCcore-11.3.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/p	ai	PyTorch	1.12.0	foss	2022a	-CUDA-11.7.0	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/p/PyTorch/PyTorch-1.12.0-foss-2022a-CUDA-11.7.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/p	ai	PyTorch	1.12.0	foss	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/p/PyTorch/PyTorch-1.12.0-foss-2022a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/p	ai	PyTorch	1.12.1	foss	2021a	-CUDA-11.3.1	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/p/PyTorch/PyTorch-1.12.1-foss-2021a-CUDA-11.3.1.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/p	ai	PyTorch	1.12.1	foss	2021a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/p/PyTorch/PyTorch-1.12.1-foss-2021a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/p	ai	PyTorch	1.12.1	foss	2021b	-CUDA-11.5.2	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/p/PyTorch/PyTorch-1.12.1-foss-2021b-CUDA-11.5.2.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/p	ai	PyTorch	1.12.1	foss	2021b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/p/PyTorch/PyTorch-1.12.1-foss-2021b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/p	ai	PyTorch	1.12.1	foss	2022a	-CUDA-11.7.0	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/p/PyTorch/PyTorch-1.12.1-foss-2022a-CUDA-11.7.0.eb
