base_dir	moduleclass	module	version	toolchain	toolchainversion	versionsuffix	ebfile
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	cae	ABAQUS	2017	SYSTEM	SYSTEM	-hotfix-1721	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABAQUS/ABAQUS-2017-hotfix-1721.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	cae	ABAQUS	2018	SYSTEM	SYSTEM	-hotfix-1806	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABAQUS/ABAQUS-2018-hotfix-1806.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	cae	ABAQUS	2020	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABAQUS/ABAQUS-2020.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	cae	ABAQUS	2021	SYSTEM	SYSTEM	-hotfix-2132	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABAQUS/ABAQUS-2021-hotfix-2132.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	cae	ABAQUS	2022	SYSTEM	SYSTEM	-hotfix-2214	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABAQUS/ABAQUS-2022-hotfix-2214.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	cae	ABAQUS	2022	SYSTEM	SYSTEM	-hotfix-2223	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABAQUS/ABAQUS-2022-hotfix-2223.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	cae	ABAQUS	2022	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABAQUS/ABAQUS-2022.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	cae	ABAQUS	6.12.1	SYSTEM	SYSTEM	-linux-x86_64	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABAQUS/ABAQUS-6.12.1-linux-x86_64.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	cae	ABAQUS	6.13.5	SYSTEM	SYSTEM	-linux-x86_64	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABAQUS/ABAQUS-6.13.5-linux-x86_64.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	cae	ABAQUS	6.14.1	SYSTEM	SYSTEM	-linux-x86_64	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABAQUS/ABAQUS-6.14.1-linux-x86_64.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	cae	ANSYS_CFD	16.2	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ANSYS_CFD/ANSYS_CFD-16.2.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	cae	ANSYS_CFD	17.0	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ANSYS_CFD/ANSYS_CFD-17.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	cae	CFDEMcoupling	3.8.0	foss	2018a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/CFDEMcoupling/CFDEMcoupling-3.8.0-foss-2018a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	cae	CFDEMcoupling	3.8.0	foss	2019b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/CFDEMcoupling/CFDEMcoupling-3.8.0-foss-2019b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	cae	CGNS	3.3.1	foss	2016b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/CGNS/CGNS-3.3.1-foss-2016b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	cae	CGNS	4.1.0	intelcuda	2019b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/CGNS/CGNS-4.1.0-intelcuda-2019b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d	cae	dd	0.5.6	foss	2020a	-Python-3.8.2	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d/dd/dd-0.5.6-foss-2020a-Python-3.8.2.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d	cae	DFA	0.3.4	GCCcore	9.3.0	-Python-3.8.2	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d/DFA/DFA-0.3.4-GCCcore-9.3.0-Python-3.8.2.eb
