base_dir	moduleclass	module	version	toolchain	toolchainversion	versionsuffix	ebfile
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	chem	ABINIT	7.0.3	SYSTEM	SYSTEM	-x86_64_linux_gnu4.5	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABINIT/ABINIT-7.0.3-x86_64_linux_gnu4.5.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	chem	ABINIT	7.0.5	SYSTEM	SYSTEM	-x86_64_linux_gnu4.5	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABINIT/ABINIT-7.0.5-x86_64_linux_gnu4.5.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	chem	ABINIT	7.10.5	intel	2016.02-GCC-4.9	-libxc	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABINIT/ABINIT-7.10.5-intel-2016.02-GCC-4.9-libxc.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	chem	ABINIT	7.10.5	intel	2016.02-GCC-4.9		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABINIT/ABINIT-7.10.5-intel-2016.02-GCC-4.9.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	chem	ABINIT	7.2.1	SYSTEM	SYSTEM	-x86_64_linux_gnu4.5	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABINIT/ABINIT-7.2.1-x86_64_linux_gnu4.5.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	chem	ABINIT	8.0.8	intel	2016a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABINIT/ABINIT-8.0.8-intel-2016a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	chem	ABINIT	8.0.8b	foss	2016b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABINIT/ABINIT-8.0.8b-foss-2016b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	chem	ABINIT	8.0.8b	intel	2016b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABINIT/ABINIT-8.0.8b-intel-2016b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	chem	ABINIT	8.10.2	intel	2018b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABINIT/ABINIT-8.10.2-intel-2018b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	chem	ABINIT	8.10.3	intel	2018b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABINIT/ABINIT-8.10.3-intel-2018b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	chem	ABINIT	8.2.2	foss	2016b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABINIT/ABINIT-8.2.2-foss-2016b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	chem	ABINIT	8.2.2	intel	2016b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABINIT/ABINIT-8.2.2-intel-2016b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	chem	ABINIT	8.4.4	intel	2017b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ABINIT/ABINIT-8.4.4-intel-2017b.eb
