base_dir	moduleclass	module	version	toolchain	toolchainversion	versionsuffix	ebfile
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	devel	ant	1.10.0	SYSTEM	SYSTEM	-Java-1.8.0_112	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ant/ant-1.10.0-Java-1.8.0_112.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	devel	ant	1.10.1	SYSTEM	SYSTEM	-Java-1.8.0_121	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ant/ant-1.10.1-Java-1.8.0_121.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	devel	ant	1.10.1	SYSTEM	SYSTEM	-Java-1.8.0_144	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ant/ant-1.10.1-Java-1.8.0_144.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	devel	ant	1.10.1	SYSTEM	SYSTEM	-Java-1.8.0_152	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ant/ant-1.10.1-Java-1.8.0_152.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	devel	ant	1.10.1	SYSTEM	SYSTEM	-Java-1.8.0_162	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ant/ant-1.10.1-Java-1.8.0_162.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	devel	ant	1.10.1	SYSTEM	SYSTEM	-Java-1.8	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ant/ant-1.10.1-Java-1.8.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	devel	ant	1.10.11	SYSTEM	SYSTEM	-Java-11	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ant/ant-1.10.11-Java-11.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	devel	ant	1.10.11	SYSTEM	SYSTEM	-Java-13	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ant/ant-1.10.11-Java-13.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	devel	ant	1.10.12	SYSTEM	SYSTEM	-Java-11	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ant/ant-1.10.12-Java-11.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	devel	ant	1.10.12	SYSTEM	SYSTEM	-Java-17	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ant/ant-1.10.12-Java-17.eb
