base_dir	moduleclass	module	version	toolchain	toolchainversion	versionsuffix	ebfile
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	geo	ALADIN	36t1_op2bf1	intel	2016a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ALADIN/ALADIN-36t1_op2bf1-intel-2016a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	geo	arosics	1.7.6	foss	2021a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/arosics/arosics-1.7.6-foss-2021a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/b	geo	BiasAdjustCXX	1.9.1	gompi	2021b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/b/BiasAdjustCXX/BiasAdjustCXX-1.9.1-gompi-2021b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	Cartopy	0.18.0	foss	2019b	-Python-3.7.4	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/Cartopy/Cartopy-0.18.0-foss-2019b-Python-3.7.4.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	Cartopy	0.18.0	foss	2020a	-Python-3.8.2	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/Cartopy/Cartopy-0.18.0-foss-2020a-Python-3.8.2.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	Cartopy	0.19.0.post1	foss	2020b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/Cartopy/Cartopy-0.19.0.post1-foss-2020b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	Cartopy	0.19.0.post1	intel	2020b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/Cartopy/Cartopy-0.19.0.post1-intel-2020b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	Cartopy	0.20.0	foss	2021a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/Cartopy/Cartopy-0.20.0-foss-2021a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	Cartopy	0.20.3	foss	2021b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/Cartopy/Cartopy-0.20.3-foss-2021b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	Cartopy	0.20.3	foss	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/Cartopy/Cartopy-0.20.3-foss-2022a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	Cartopy	0.22.0	foss	2023a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/Cartopy/Cartopy-0.22.0-foss-2023a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	CDAT	8.2.1	foss	2020a	-Python-3.8.2	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/CDAT/CDAT-8.2.1-foss-2020a-Python-3.8.2.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	cdo-bindings	1.5.7	foss	2021b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/cdo-bindings/cdo-bindings-1.5.7-foss-2021b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	cdo-bindings	1.6.0	foss	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/cdo-bindings/cdo-bindings-1.6.0-foss-2022a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	CESM-deps	2	foss	2018b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/CESM-deps/CESM-deps-2-foss-2018b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	CESM-deps	2	foss	2021b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/CESM-deps/CESM-deps-2-foss-2021b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	CESM-deps	2	foss	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/CESM-deps/CESM-deps-2-foss-2022a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	CESM-deps	2	intel	2018b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/CESM-deps/CESM-deps-2-intel-2018b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	CESM-deps	2	iomkl	2018b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/CESM-deps/CESM-deps-2-iomkl-2018b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	CliMetLab	0.12.6	foss	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/CliMetLab/CliMetLab-0.12.6-foss-2022a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	CloudCompare	2.12.4	foss	2021b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/CloudCompare/CloudCompare-2.12.4-foss-2021b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c	geo	contextily	1.5.0	foss	2023a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/c/contextily/contextily-1.5.0-foss-2023a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d	geo	Doris	4.02	intel	2017a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d/Doris/Doris-4.02-intel-2017a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d	geo	Doris	4.04beta4	foss	2018a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d/Doris/Doris-4.04beta4-foss-2018a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d	geo	Doris	4.04beta4	intel	2017a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d/Doris/Doris-4.04beta4-intel-2017a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d	geo	Doris	4.06beta2	intel	2017a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/d/Doris/Doris-4.06beta2-intel-2017a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	earthengine-api	0.1.143	intel	2018a	-Python-2.7.14	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/earthengine-api/earthengine-api-0.1.143-intel-2018a-Python-2.7.14.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ED2	20170201	intel	2017a	-serial	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ED2/ED2-20170201-intel-2017a-serial.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ED2	20170201	intel	2017a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ED2/ED2-20170201-intel-2017a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	6.3.0rp1	intel	2017a	-HDF5-1.8.18	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-6.3.0rp1-intel-2017a-HDF5-1.8.18.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	6.3.0rp1	intel	2017a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-6.3.0rp1-intel-2017a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	7.0.0	foss	2016a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-7.0.0-foss-2016a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	7.0.2	intel	2017b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-7.0.2-intel-2017b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	7.1.0r	foss	2018b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-7.1.0r-foss-2018b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	7.1.0r	foss	2019a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-7.1.0r-foss-2019a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	7.1.0r	intel	2018a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-7.1.0r-intel-2018a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	7.1.0r	intel	2018b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-7.1.0r-intel-2018b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	7.1.0r	iomkl	2018b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-7.1.0r-iomkl-2018b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	8.0.0	foss	2019b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-8.0.0-foss-2019b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	8.0.0	intel	2019b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-8.0.0-intel-2019b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	8.0.1	foss	2020a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-8.0.1-foss-2020a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	8.0.1	foss	2020b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-8.0.1-foss-2020b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	8.0.1	intel	2020a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-8.0.1-intel-2020a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	8.0.1	intel	2020b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-8.0.1-intel-2020b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	8.1.1	foss	2021a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-8.1.1-foss-2021a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	8.1.1	intel	2021a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-8.1.1-intel-2021a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	8.2.0	foss	2021b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-8.2.0-foss-2021b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	8.2.0	intel	2021b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-8.2.0-intel-2021b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e	geo	ESMF	8.3.0	foss	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/e/ESMF/ESMF-8.3.0-foss-2022a.eb
