base_dir	moduleclass	module	version	toolchain	toolchainversion	versionsuffix	ebfile
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Amara	1.2.0.2	foss	2019a	-Python-2.7.15	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Amara/Amara-1.2.0.2-foss-2019a-Python-2.7.15.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Amara	1.2.0.2	intel	2019a	-Python-2.7.15	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Amara/Amara-1.2.0.2-intel-2019a-Python-2.7.15.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Anaconda2	2018.12	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Anaconda2/Anaconda2-2018.12.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Anaconda2	2019.03	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Anaconda2/Anaconda2-2019.03.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Anaconda2	2019.07	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Anaconda2/Anaconda2-2019.07.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Anaconda2	2019.10	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Anaconda2/Anaconda2-2019.10.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Anaconda2	4.0.0	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Anaconda2/Anaconda2-4.0.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Anaconda2	4.2.0	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Anaconda2/Anaconda2-4.2.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Anaconda2	4.4.0	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Anaconda2/Anaconda2-4.4.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Anaconda2	5.0.1	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Anaconda2/Anaconda2-5.0.1.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Anaconda2	5.1.0	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Anaconda2/Anaconda2-5.1.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Anaconda2	5.3.0	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Anaconda2/Anaconda2-5.3.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Anaconda3	2018.12	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Anaconda3/Anaconda3-2018.12.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Anaconda3	2019.03	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Anaconda3/Anaconda3-2019.03.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Anaconda3	2019.07	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Anaconda3/Anaconda3-2019.07.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	lang	Anaconda3	2019.10	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Anaconda3/Anaconda3-2019.10.eb
