base_dir	moduleclass	module	version	toolchain	toolchainversion	versionsuffix	ebfile
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/0	math	4ti2	1.6.10	GCC	13.2.0		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/0/4ti2/4ti2-1.6.10-GCC-13.2.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/0	math	4ti2	1.6.9	GCC	11.3.0		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/0/4ti2/4ti2-1.6.9-GCC-11.3.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/0	math	4ti2	1.6.9	GCC	8.2.0-2.31.1		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/0/4ti2/4ti2-1.6.9-GCC-8.2.0-2.31.1.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/0	math	4ti2	1.6.9	intel	2018b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/0/4ti2/4ti2-1.6.9-intel-2018b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	math	AMICA	2024.1.19	intel	2023a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/AMICA/AMICA-2024.1.19-intel-2023a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	math	AMPL-MP	3.1.0	GCCcore	6.4.0		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/AMPL-MP/AMPL-MP-3.1.0-GCCcore-6.4.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	math	ANTIC	0.2.5	gfbf	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ANTIC/ANTIC-0.2.5-gfbf-2022a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	math	Arb	2.16.0	GCC	7.3.0-2.30		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Arb/Arb-2.16.0-GCC-7.3.0-2.30.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	math	Arb	2.16.0	GCC	8.2.0-2.31.1		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Arb/Arb-2.16.0-GCC-8.2.0-2.31.1.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	math	Arb	2.16.0	iccifort	2018.3.222-GCC-7.3.0-2.30		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Arb/Arb-2.16.0-iccifort-2018.3.222-GCC-7.3.0-2.30.eb
