base_dir	moduleclass	module	version	toolchain	toolchainversion	versionsuffix	ebfile
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/h	mpi	HPCX	2.3.0	GCC	8.2.0-2.31.1		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/h/HPCX/HPCX-2.3.0-GCC-8.2.0-2.31.1.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2017.0.098	iccifort	2017.0.098-GCC-5.4.0-2.26		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2017.0.098-iccifort-2017.0.098-GCC-5.4.0-2.26.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2017.1.132	GCC	5.4.0-2.26		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2017.1.132-GCC-5.4.0-2.26.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2017.1.132	iccifort	2017.1.132-GCC-5.4.0-2.26		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2017.1.132-iccifort-2017.1.132-GCC-5.4.0-2.26.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2017.1.132	iccifort	2017.1.132-GCC-6.3.0-2.27		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2017.1.132-iccifort-2017.1.132-GCC-6.3.0-2.27.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2017.2.174	iccifort	2017.2.174-GCC-6.3.0-2.27		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2017.2.174-iccifort-2017.2.174-GCC-6.3.0-2.27.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2017.3.196	GCC	6.4.0-2.28		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2017.3.196-GCC-6.4.0-2.28.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2017.3.196	gcccuda	2017b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2017.3.196-gcccuda-2017b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2017.3.196	iccifort	2017.4.196-GCC-6.4.0-2.28		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2017.3.196-iccifort-2017.4.196-GCC-6.4.0-2.28.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2017.3.196	iccifortcuda	2017.4.196-GCC-6.4.0-2.28		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2017.3.196-iccifortcuda-2017.4.196-GCC-6.4.0-2.28.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2017.4.239	iccifort	2017.5.239-GCC-6.4.0-2.28		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2017.4.239-iccifort-2017.5.239-GCC-6.4.0-2.28.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2018.0.128	iccifort	2018.0.128-GCC-6.4.0-2.28		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2018.0.128-iccifort-2018.0.128-GCC-6.4.0-2.28.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2018.1.163	GCC	6.4.0-2.28		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2018.1.163-GCC-6.4.0-2.28.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2018.1.163	iccifort	2018.1.163-GCC-6.4.0-2.28		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2018.1.163-iccifort-2018.1.163-GCC-6.4.0-2.28.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2018.2.199	iccifort	2018.2.199-GCC-6.4.0-2.28		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2018.2.199-iccifort-2018.2.199-GCC-6.4.0-2.28.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2018.3.222	GCC	7.3.0-2.30		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2018.3.222-GCC-7.3.0-2.30.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2018.3.222	iccifort	2018.3.222-GCC-7.3.0-2.30		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2018.3.222-iccifort-2018.3.222-GCC-7.3.0-2.30.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2018.4.274	iccifort	2018.5.274-GCC-7.3.0-2.30		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2018.4.274-iccifort-2018.5.274-GCC-7.3.0-2.30.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2018.4.274	iccifort	2019.1.144-GCC-8.2.0-2.31.1		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2018.4.274-iccifort-2019.1.144-GCC-8.2.0-2.31.1.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i	mpi	impi	2018.4.274	iccifortcuda	2019a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/i/impi/impi-2018.4.274-iccifortcuda-2019a.eb
