base_dir	moduleclass	module	version	toolchain	toolchainversion	versionsuffix	ebfile
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	AMD-LibM	3.2.2	GCC	7.3.0-2.30		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/AMD-LibM/AMD-LibM-3.2.2-GCC-7.3.0-2.30.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	AMD-LibM	3.6.0-4	GCC	9.3.0		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/AMD-LibM/AMD-LibM-3.6.0-4-GCC-9.3.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	AMD-RNG	1.0	GCC	7.3.0-2.30		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/AMD-RNG/AMD-RNG-1.0-GCC-7.3.0-2.30.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	AMD-RNG	2.2-4	GCC	9.3.0		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/AMD-RNG/AMD-RNG-2.2-4-GCC-9.3.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	AMD-SecureRNG	1.0	GCC	7.3.0-2.30		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/AMD-SecureRNG/AMD-SecureRNG-1.0-GCC-7.3.0-2.30.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	AMD-SecureRNG	2.2-4	GCC	9.3.0		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/AMD-SecureRNG/AMD-SecureRNG-2.2-4-GCC-9.3.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	Armadillo	10.5.3	foss	2020b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Armadillo/Armadillo-10.5.3-foss-2020b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	Armadillo	10.7.5	foss	2021a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Armadillo/Armadillo-10.7.5-foss-2021a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	Armadillo	11.4.3	foss	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Armadillo/Armadillo-11.4.3-foss-2022a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	Armadillo	11.4.3	foss	2022b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Armadillo/Armadillo-11.4.3-foss-2022b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	Armadillo	12.6.2	foss	2023a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Armadillo/Armadillo-12.6.2-foss-2023a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	Armadillo	12.8.0	foss	2023b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Armadillo/Armadillo-12.8.0-foss-2023b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	Armadillo	7.600.2	foss	2016b	-Python-2.7.12	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Armadillo/Armadillo-7.600.2-foss-2016b-Python-2.7.12.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	Armadillo	7.800.0	intel	2016b	-Python-2.7.12	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Armadillo/Armadillo-7.800.0-intel-2016b-Python-2.7.12.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	Armadillo	7.950.1	intel	2016b	-Python-2.7.12	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Armadillo/Armadillo-7.950.1-intel-2016b-Python-2.7.12.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	Armadillo	8.300.1	foss	2017b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Armadillo/Armadillo-8.300.1-foss-2017b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	Armadillo	8.300.1	intel	2017b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Armadillo/Armadillo-8.300.1-intel-2017b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	Armadillo	8.400.0	foss	2018a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Armadillo/Armadillo-8.400.0-foss-2018a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	numlib	Armadillo	9.600.5	foss	2018b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Armadillo/Armadillo-9.600.5-foss-2018b.eb
