base_dir	moduleclass	module	version	toolchain	toolchainversion	versionsuffix	ebfile
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	Advisor	2016_update2	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Advisor/Advisor-2016_update2.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	Advisor	2017_update1	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Advisor/Advisor-2017_update1.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	Advisor	2018_update1	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Advisor/Advisor-2018_update1.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	Advisor	2018_update3	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Advisor/Advisor-2018_update3.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	Advisor	2019_update2	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Advisor/Advisor-2019_update2.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	Advisor	2019_update3	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Advisor/Advisor-2019_update3.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	Advisor	2019_update5	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Advisor/Advisor-2019_update5.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	Advisor	2021.2.0	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Advisor/Advisor-2021.2.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	Advisor	2021.4.0	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Advisor/Advisor-2021.4.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	Advisor	2022.1.0	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Advisor/Advisor-2022.1.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	Advisor	2023.0.0	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Advisor/Advisor-2023.0.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	Advisor	2023.2.0	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Advisor/Advisor-2023.2.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	AMD-uProf	3.4.502	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/AMD-uProf/AMD-uProf-3.4.502.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	AMD-uProf	3.5.671	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/AMD-uProf/AMD-uProf-3.5.671.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	AMD-uProf	4.1.424	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/AMD-uProf/AMD-uProf-4.1.424.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	Austin	3.2.0	GCCcore	11.2.0		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Austin/Austin-3.2.0-GCCcore-11.2.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	perf	Austin	3.2.0	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Austin/Austin-3.2.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/b	perf	BabelStream	3.4	GCC	11.2.0	-omp	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/b/BabelStream/BabelStream-3.4-GCC-11.2.0-omp.eb
