base_dir	moduleclass	module	version	toolchain	toolchainversion	versionsuffix	ebfile
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	phys	ADDA	1.3b4	foss	2019a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ADDA/ADDA-1.3b4-foss-2019a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	phys	AEDT	2024R1	SYSTEM	SYSTEM		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/AEDT/AEDT-2024R1.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	phys	ALPS	2.2.b4	intel	2016a	-Python-2.7.11	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ALPS/ALPS-2.2.b4-intel-2016a-Python-2.7.11.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	phys	ALPS	2.3.0	foss	2016b	-Python-2.7.12	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ALPS/ALPS-2.3.0-foss-2016b-Python-2.7.12.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	phys	ALPS	2.3.0	foss	2016b	-Python-3.5.2	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ALPS/ALPS-2.3.0-foss-2016b-Python-3.5.2.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	phys	ARGoS	3.0.0-beta53	foss	2018b	-Lua-5.2.4	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ARGoS/ARGoS-3.0.0-beta53-foss-2018b-Lua-5.2.4.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	phys	ARGoS	3.0.0-beta59	GCC	11.2.0		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ARGoS/ARGoS-3.0.0-beta59-GCC-11.2.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	phys	ARTS	2.2.64	gompi	2019a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ARTS/ARTS-2.2.64-gompi-2019a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	phys	ASAP3	3.10.10	foss	2018b	-Python-3.6.6	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ASAP3/ASAP3-3.10.10-foss-2018b-Python-3.6.6.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	phys	ASAP3	3.10.10	intel	2018b	-Python-3.6.6	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ASAP3/ASAP3-3.10.10-intel-2018b-Python-3.6.6.eb
