base_dir	moduleclass	module	version	toolchain	toolchainversion	versionsuffix	ebfile
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	vis	abTEM	1.0.0b24	fosscuda	2020b	-ASE-3.22.0	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/abTEM/abTEM-1.0.0b24-fosscuda-2020b-ASE-3.22.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	vis	abTEM	1.0.0b26	foss	2020b	-ASE-3.22.0	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/abTEM/abTEM-1.0.0b26-foss-2020b-ASE-3.22.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	vis	abTEM	1.0.0b26	fosscuda	2020b	-ASE-3.22.0	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/abTEM/abTEM-1.0.0b26-fosscuda-2020b-ASE-3.22.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	vis	Albumentations	1.1.0	foss	2021a	-CUDA-11.3.1	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Albumentations/Albumentations-1.1.0-foss-2021a-CUDA-11.3.1.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	vis	Albumentations	1.1.0	foss	2021b		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Albumentations/Albumentations-1.1.0-foss-2021b.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	vis	Albumentations	1.3.0	foss	2022a	-CUDA-11.7.0	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Albumentations/Albumentations-1.3.0-foss-2022a-CUDA-11.7.0.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	vis	Albumentations	1.3.0	foss	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/Albumentations/Albumentations-1.3.0-foss-2022a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	vis	ASAP	2.0	foss	2021a	-CUDA-11.3.1	easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ASAP/ASAP-2.0-foss-2021a-CUDA-11.3.1.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	vis	ASAP	2.1	foss	2022a		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/ASAP/ASAP-2.1-foss-2022a.eb
easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a	vis	assimp	5.0.1	GCCcore	8.3.0		easybuild-cloned-repositories/easybuild-easyconfigs/easybuild/easyconfigs/a/assimp/assimp-5.0.1-GCCcore-8.3.0.eb
