toolchain	toolchainversion	moduleversionsuffix	count
CrayCCE	19.06		2
CrayGNU	19.06		2
CrayIntel	19.06		1
FCC	4.5.0		19
FCC	4.5.0	-fujitsu	1
ffmpi	4.5.0		1
foss	2016a		520
foss	2016a	-32bitIDX	1
foss	2016a	-bare	2
foss	2016a	-CUDA-7.5.18-Python-2.7.11	1
foss	2016a	-freetype-2.6.3	2
foss	2016a	-gettext-0.19.7	1
foss	2016a	-GLib-2.48.0	2
foss	2016a	-hybrid	1
foss	2016a	-hybrid-avx2	2
foss	2016a	-Java-1.7.0_79-Python-2.7.11	1
foss	2016a	-Java-1.7.0_80-Python-2.7.11	1
foss	2016a	-Java-1.8.0_92	2
foss	2016a	-Mesa-11.2.1	4
foss	2016a	-METIS-5.1.0	3
foss	2016a	-mpiio	1
foss	2016a	-mt	1
foss	2016a	-NASM-2.12.01	1
foss	2016a	-nodejs-4.4.7	1
foss	2016a	-no-X11	1
foss	2016a	-omp-mpi	1
foss	2016a	-ParMETIS-4.0.3	1
foss	2016a	-Perl-5.22.1	10
foss	2016a	-Python-2.7.11	85
foss	2016a	-Python-2.7.11-freetype-2.6.3	2
foss	2016a	-Python-2.7.11-HDF5-1.8.16	1
foss	2016a	-Python-2.7.11-HDF5-1.8.16-serial	1
foss	2016a	-Python-2.7.11-zmq4	2
foss	2016a	-Python-3.5.1	30
foss	2016a	-Python-3.5.1-HDF5-1.8.16	1
foss	2016a	-Python-3.5.1-zmq4	1
foss	2016a	-R-3.2.3	1
foss	2016a	-serial	2
foss	2016a	-tools	1
foss	2016b		434
foss	2016b	-bare	1
foss	2016b	-BioPerl-1.7.0	1
foss	2016b	-CUDA-8.0.61	1
foss	2016b	-develop	1
foss	2016b	-GPU-enabled	1
foss	2016b	-GPU-Python-3.5.2	1
foss	2016b	-hybrid	3
foss	2016b	-Java-1.8.0_121	1
foss	2016b	-METIS-5.1.0	1
foss	2016b	-mpi	3
foss	2016b	-mt	2
foss	2016b	-ParMETIS-4.0.3	1
foss	2016b	-Perl-5.24.0	13
foss	2016b	-psmp	1
foss	2016b	-Python-2.7.12	85
foss	2016b	-Python-2.7.12-HDF5-1.8.17	1
foss	2016b	-Python-2.7.12-HDF5-1.8.18	1
foss	2016b	-Python-2.7.12-HDF5-1.10.0-patch1	1
foss	2016b	-Python-2.7.12-R-3.3.1	1
foss	2016b	-Python-2.7.12-R-3.3.3	1
foss	2016b	-Python-2.7.12-zmq4	1
foss	2016b	-Python-3.5.2	22
foss	2016b	-Python-3.5.2-HDF5-1.8.18	1
foss	2016b	-Python-3.5.2-HDF5-1.10.0-patch1	1
foss	2016b	-Python-3.5.2-zmq4	1
foss	2016b	-R-3.3.3	1
foss	2016b	-sockets	1
foss	2016b	-with-extensions	1
foss	2016b	-X11-20160819	2
foss	2017a		111
foss	2017a	-HDF5-1.8.19	1
foss	2017a	-HDF5-1.10.1	1
foss	2017a	-METIS-5.1.0	1
foss	2017a	-mpi	1
foss	2017a	-nodejs-8.9.4	1
foss	2017a	-ParMETIS-4.0.3	1
foss	2017a	-PLUMED	1
foss	2017a	-Python-2.7.13	25
foss	2017a	-Python-2.7.13-HDF5-1.8.19	1
foss	2017a	-Python-2.7.13-HDF5-1.10.1	1
foss	2017a	-Python-2.7.13-zmq4	1
foss	2017a	-Python-3.6.1	3
foss	2017a	-Python-3.6.1-HDF5-1.8.19	1
foss	2017a	-Python-3.6.1-HDF5-1.10.1	1
foss	2017a	-Python-3.6.4	2
foss	2017a	-tools	1
foss	2017b		281
foss	2017b	-5build1	1
foss	2017b	-64bitint	1
foss	2017b	-AmberTools-17-patchlevel-10-15-Python-2.7.14	1
foss	2017b	-CUDA-9.0.176-Python-2.7.14	1
foss	2017b	-downloaded-deps	2
foss	2017b	-HDF5-1.8.19	2
foss	2017b	-hybrid-avx	1
foss	2017b	-hybrid-avx2	1
foss	2017b	-hybrid-sse3	1
foss	2017b	-metis	1
foss	2017b	-METIS-5.1.0	2
foss	2017b	-MPFR-3.1.6	1
foss	2017b	-mpi	2
foss	2017b	-ParMETIS-4.0.3	2
foss	2017b	-Perl-5.26.0	9
foss	2017b	-Perl-5.26.0-Python-2.7.14	1
foss	2017b	-Perl-5.26.0-Python-3.6.3	1
foss	2017b	-Python-2.7.14	61
foss	2017b	-Python-2.7.14-R-3.4.3	1
foss	2017b	-Python-3.6.2	9
foss	2017b	-Python-3.6.2-HDF5-1.8.19	1
foss	2017b	-Python-3.6.3	56
foss	2017b	-R-3.4.3	3
foss	2017b	-R-3.4.3-Python-2.7.14	1
foss	2017b	-X11-20171023	1
foss	2018a		285
foss	2018a	-5build1	1
foss	2018a	-bare	1
foss	2018a	-CUDA-9.1.85	2
foss	2018a	-downloaded-deps	1
foss	2018a	-Java-1.8.0_162	1
foss	2018a	-METIS-5.1.0	1
foss	2018a	-mpi	1
foss	2018a	-mt-kmer_191	1
foss	2018a	-Perl-5.26.1	2
foss	2018a	-Python-2.7.14	45
foss	2018a	-Python-2.7.14-Boost-1.63.0	1
foss	2018a	-Python-2.7.14-zmq4	1
foss	2018a	-Python-3.6.4	72
foss	2018a	-Python-3.6.4-contrib	1
foss	2018a	-Python-3.6.4-CUDA-9.1.85	4
foss	2018a	-Python-3.6.4-Perl-5.26.1	1
foss	2018a	-Python-3.6.4-zmq4	1
foss	2018a	-R-3.4.4	1
foss	2018a	-Ruby-2.5.1	3
foss	2018a	-X11-20180131	1
foss	2018b		611
foss	2018b	-AmberTools-17-patchlevel-10-15	1
foss	2018b	-AmberTools-18-patchlevel-10-8	1
foss	2018b	-ASE-3.18.0-Python-3.6.6	1
foss	2018b	-bare	1
foss	2018b	-CUDA-9.2.88	2
foss	2018b	-dmpar	2
foss	2018b	-downloaded-deps	1
foss	2018b	-Java-1.8	2
foss	2018b	-Lua-5.2.4	1
foss	2018b	-metis	1
foss	2018b	-METIS-5.1.0	1
foss	2018b	-mpi	2
foss	2018b	-mt-kmer_191	1
foss	2018b	-Perl-5.28.0	21
foss	2018b	-Perl-5.28.0-Python-2.7.15	1
foss	2018b	-PLUMED	1
foss	2018b	-PLUMED-2.5.0	1
foss	2018b	-Python-2.7.15	106
foss	2018b	-Python-2.7.15-CUDA-9.2.88	1
foss	2018b	-Python-2.7.15-mpi	1
foss	2018b	-Python-3.6.6	163
foss	2018b	-Python-3.6.6-CUDA-9.2.88	1
foss	2018b	-R-3.5.1	26
foss	2018b	-R-3.5.1-Python-2.7.15	1
foss	2018b	-Ruby-2.6.1	1
foss	2018b	-with-extensions	1
foss	2019a		202
foss	2019a	-5build1	1
foss	2019a	-HCP-Python-2.7.15	2
foss	2019a	-HCP-Python-3.7.2	1
foss	2019a	-metis	1
foss	2019a	-metis-seq	1
foss	2019a	-METIS-5.1.0	1
foss	2019a	-Octave-Python-3.7.2	1
foss	2019a	-Perl-5.28.1	3
foss	2019a	-Python-2.7.15	32
foss	2019a	-Python-3.7.2	68
foss	2019a	-Python-3.7.2-PyTorch-1.2.0	1
foss	2019a	-Python-3.7.2-R-3.6.0	4
foss	2019a	-R-3.6.0	16
foss	2019b		310
foss	2019b	-5build1	1
foss	2019b	-20200324	1
foss	2019b	-20200508	1
foss	2019b	-AmberTools-19-patchlevel-12-17-Python-2.7.16	1
foss	2019b	-ASE-3.20.1-Python-3.7.4	1
foss	2019b	-dmpar	1
foss	2019b	-Java-11	1
foss	2019b	-metis	1
foss	2019b	-METIS-5.1.0	1
foss	2019b	-mpi	2
foss	2019b	-Perl-5.30.0	1
foss	2019b	-PEXSI	1
foss	2019b	-PLUMED-2.5.4	1
foss	2019b	-Python-2.7.16	21
foss	2019b	-Python-2.7.16-mpi	2
foss	2019b	-Python-3.7.4	176
foss	2019b	-Python-3.7.4-kokkos	2
foss	2019b	-Python-3.7.4-mpi	1
foss	2019b	-Python-3.7.4-PyTorch-1.4.0	2
foss	2019b	-Python-3.7.4-PyTorch-1.6.0	2
foss	2019b	-Python-3.7.4-R-3.6.2	1
foss	2019b	-R-3.6.2	6
foss	2019b	-R-3.6.2-Python-3.7.4	1
foss	2019b	-serial-Python-3.7.4	1
foss	2020a		247
foss	2020a	-AmberTools-20.15-Python-3.8.2	1
foss	2020a	-dmpar	2
foss	2020a	-Java-11-R-4.0.0	2
foss	2020a	-metis	1
foss	2020a	-METIS-5.1.0	1
foss	2020a	-mpi	1
foss	2020a	-OpenFOAM-8	1
foss	2020a	-Perl-5.30.2	1
foss	2020a	-Python-2.7.18	2
foss	2020a	-Python-3.8.2	147
foss	2020a	-Python-3.8.2-contrib	1
foss	2020a	-Python-3.8.2-kokkos	1
foss	2020a	-Python-3.8.2-mpi	1
foss	2020a	-R-3.6.3-Python-3.8.2	1
foss	2020a	-R-4.0.0	23
foss	2020a	-R-4.0.0-Python-3.8.2	4
foss	2020a	-TensorFlow-2.3.1-Python-3.8.2	1
foss	2020b		346
foss	2020b	-20210316	1
foss	2020b	-AmberTools-21.3	1
foss	2020b	-ASE-3.21.1	3
foss	2020b	-ASE-3.22.0	3
foss	2020b	-contrib	1
foss	2020b	-dmpar	4
foss	2020b	-metis	1
foss	2020b	-METIS-5.1.0	1
foss	2020b	-mpi	2
foss	2020b	-muMerge-1.1.0	1
foss	2020b	-Perl-5.32.0	1
foss	2020b	-PEXSI	1
foss	2020b	-psmp	1
foss	2020b	-PyMC	1
foss	2020b	-Python-2.7.18	16
foss	2020b	-PyTorch-1.7.1	3
foss	2020b	-R-4.0.3	17
foss	2020b	-R-4.0.3-Monocle3	1
foss	2020b	-R-4.0.4	9
foss	2020b	-R-4.0.5	1
foss	2020b	-TensorFlow-2.5.0	1
foss	2021a		397
foss	2021a	-contrib	1
foss	2021a	-CUDA-11.3.1	55
foss	2021a	-CUDA-11.3.1-contrib	1
foss	2021a	-CUDA-11.3.1-DeepMind-patch	1
foss	2021a	-CUDA-11.3.1-PLUMED-2.7.2	1
foss	2021a	-CUDA-11.3.1-PyTorch-1.10.0	2
foss	2021a	-CUDA-11.3.1-PyTorch-1.11.0	1
