base_dir	version_subdir	module	version	mod_time	mod_days	mod_3y	mod_5y	mod_10y
/sw/bioinfo	3D-DNA/20190801-529ccf4	3D-DNA	20190801-529ccf4	2022-04-26_10:21:07	780	1	1	1
/sw/bioinfo	454-dataanalysis/2.3	454-dataanalysis	2.3	2018-09-25_12:28:28	2089	0	0	1
/sw/bioinfo	454-dataanalysis/2.5.3	454-dataanalysis	2.5.3	2018-09-25_12:28:27	2089	0	0	1
/sw/bioinfo	454-dataanalysis/2.6	454-dataanalysis	2.6	2018-09-25_12:28:27	2089	0	0	1
/sw/bioinfo	454-dataanalysis/2.9	454-dataanalysis	2.9	2018-09-25_12:28:28	2089	0	0	1
/sw/bioinfo	454-dataprocessing/2.3	454-dataprocessing	2.3	2018-09-25_12:28:28	2089	0	0	1
/sw/bioinfo	A5-miseq/20140113	A5-miseq	20140113	2017-02-08_09:29:26	2683	0	0	1
/sw/bioinfo	A5-miseq/20140604	A5-miseq	20140604	2023-10-10_16:47:12	248	1	1	1
/sw/bioinfo	A5-miseq/20160825	A5-miseq	20160825	2018-09-25_12:28:29	2089	0	0	1
/sw/bioinfo	AAT/r03052011	AAT	r03052011	2019-09-18_11:51:39	1731	0	1	1
/sw/bioinfo	ABCtoolbox/20131120	ABCtoolbox	20131120	2022-05-31_10:33:53	745	1	1	1
/sw/bioinfo	abricate/0.8.7	abricate	0.8.7	2022-10-24_15:55:16	599	1	1	1
/sw/bioinfo	abricate/1.0.1-20200512-955d402	abricate	1.0.1-20200512-955d402	2022-10-20_18:12:37	603	1	1	1
/sw/bioinfo	ABSOLUTE/2023-6c98496	ABSOLUTE	2023-6c98496	2024-02-27_09:41:28	108	1	1	1
/sw/bioinfo	abyss/1.3.5	abyss	1.3.5	2018-09-25_12:40:42	2089	0	0	1
/sw/bioinfo	abyss/1.3.5-max	abyss	1.3.5-max	2018-09-25_12:40:43	2089	0	0	1
/sw/bioinfo	abyss/1.3.7	abyss	1.3.7	2017-09-01_16:55:50	2478	0	0	1
/sw/bioinfo	abyss/1.3.7-k128	abyss	1.3.7-k128	2017-09-01_16:58:34	2478	0	0	1
/sw/bioinfo	abyss/1.3.7-max	abyss	1.3.7-max	2017-09-01_16:55:28	2478	0	0	1
/sw/bioinfo	abyss/1.5.2	abyss	1.5.2	2024-05-27_16:01:50	18	1	1	1
/sw/bioinfo	abyss/1.9.0	abyss	1.9.0	2024-05-27_16:00:49	18	1	1	1
/sw/bioinfo	abyss/1.9.0-k128	abyss	1.9.0-k128	2017-09-01_16:54:51	2478	0	0	1
/sw/bioinfo	abyss/2.0.2	abyss	2.0.2	2018-09-25_12:40:44	2089	0	0	1
/sw/bioinfo	abyss/2.0.2-k128	abyss	2.0.2-k128	2018-09-25_12:40:43	2089	0	0	1
/sw/bioinfo	abyss/2.3.5	abyss	2.3.5	2022-10-17_12:25:55	606	1	1	1
/sw/bioinfo	abyss/2.3.5_k128	abyss	2.3.5_k128	2022-10-17_14:24:51	606	1	1	1
/sw/bioinfo	accuMUlate/0.2.1-b5843db	accuMUlate	0.2.1-b5843db	2018-09-25_12:40:45	2089	0	0	1
/sw/bioinfo	AdapterRemoval/2.1.7	AdapterRemoval	2.1.7	2018-09-25_12:28:36	2089	0	0	1
/sw/bioinfo	AdapterRemoval/2.2.2	AdapterRemoval	2.2.2	2018-09-25_12:28:36	2089	0	0	1
/sw/bioinfo	AdapterRemoval/2.3.1	AdapterRemoval	2.3.1	2021-02-11_09:01:54	1219	0	1	1
/sw/bioinfo	AdmixTools/20160803	AdmixTools	20160803	2018-09-25_12:28:36	2089	0	0	1
/sw/bioinfo	AdmixTools/5.0-20170312	AdmixTools	5.0-20170312	2018-09-25_12:28:36	2089	0	0	1
/sw/bioinfo	AdmixTools/5.0-20171024	AdmixTools	5.0-20171024	2018-09-25_12:28:36	2089	0	0	1
/sw/bioinfo	AdmixTools/7.0.1	AdmixTools	7.0.1	2020-09-15_14:33:38	1368	0	1	1
/sw/bioinfo	ADMIXTURE/1.3.0	ADMIXTURE	1.3.0	2022-03-22_17:13:35	815	1	1	1
/sw/bioinfo	af2complex/1.4.0	af2complex	1.4.0	2023-05-10_10:23:58	401	1	1	1
/sw/bioinfo	AGAT/1.0.0	AGAT	1.0.0	2023-01-24_15:28:34	507	1	1	1
/sw/bioinfo	AGAT/1.3.2	AGAT	1.3.2	2024-03-22_14:14:41	84	1	1	1
/sw/bioinfo	AGE/0.4	AGE	0.4	2018-09-25_12:28:29	2089	0	0	1
/sw/bioinfo	albacore/4aee41d	albacore	4aee41d	2018-11-20_13:56:19	2033	0	0	1
/sw/bioinfo	alder/1.03	alder	1.03	2018-09-25_12:40:45	2089	0	0	1
/sw/bioinfo	AlienTrimmer/0.4.0	AlienTrimmer	0.4.0	2018-09-25_12:28:36	2089	0	0	1
/sw/bioinfo	alleleCount/2.2.0	alleleCount	2.2.0	2017-02-28_11:11:54	2663	0	0	1
/sw/bioinfo	alleleCount/3.2.2	alleleCount	3.2.2	2018-09-25_12:40:48	2089	0	0	1
/sw/bioinfo	allpathslg/37250	allpathslg	37250	2014-06-16_10:47:21	3651	0	0	0
