base_dir	version_subdir	module	version	mod_time	mod_days	mod_3y	mod_5y	mod_10y
/sw/build	ant/1.10.0	ant	1.10.0	2020-01-23_13:35:41	1587	0	1	1
/sw/build	ant/1.9.8	ant	1.9.8	2020-01-23_13:35:58	1587	0	1	1
/sw/build	autoconf/2.68	autoconf	2.68	2020-01-23_13:22:28	1587	0	1	1
/sw/build	autoconf/2.69	autoconf	2.69	2020-01-23_13:23:00	1587	0	1	1
/sw/build	automake/1.14.1	automake	1.14.1	2019-03-14_12:48:07	1902	0	0	1
/sw/build	automake/1.16.1	automake	1.16.1	2019-03-14_12:51:05	1902	0	0	1
/sw/build	bazel/7.0.0-pre.20230917.3	bazel	7.0.0-pre.20230917.3	2023-09-25_17:51:48	246	1	1	1
/sw/build	bubblewrap/0.6.2	bubblewrap	0.6.2	2022-08-10_13:19:21	657	1	1	1
/sw/build	cmake/2.8.12.2_fysast1	cmake	2.8.12.2_fysast1	2020-07-13_12:37:54	1415	0	1	1
/sw/build	cmake/2.8.12.2_milou	cmake	2.8.12.2_milou	2020-07-13_12:37:54	1415	0	1	1
/sw/build	cmake/2.8.6_fysast1	cmake	2.8.6_fysast1	2014-06-16_10:49:41	3634	0	0	1
/sw/build	cmake/2.8.6_kalkyl	cmake	2.8.6_kalkyl	2014-06-16_10:49:41	3634	0	0	1
/sw/build	cmake/2.8.6_milou	cmake	2.8.6_milou	2014-06-16_10:49:41	3634	0	0	1
/sw/build	cmake/3.13.2	cmake	3.13.2	2023-05-18_10:43:23	376	1	1	1
/sw/build	cmake/3.17.3	cmake	3.17.3	2023-05-18_10:42:19	376	1	1	1
/sw/build	cmake/3.22.2	cmake	3.22.2	2022-02-18_12:06:03	830	1	1	1
/sw/build	cmake/3.26.3	cmake	3.26.3	2023-05-18_08:26:34	376	1	1	1
/sw/build	cmake/3.5.1	cmake	3.5.1	2023-05-18_10:45:59	376	1	1	1
/sw/build	cmake/3.7.2	cmake	3.7.2	2023-05-18_10:45:32	376	1	1	1
/sw/build	libtool/2.4	libtool	2.4	2018-09-25_14:36:58	2072	0	0	1
/sw/build	libtool/2.4.6	libtool	2.4.6	2020-01-23_13:30:59	1587	0	1	1
/sw/build	m4/1.4.17	m4	1.4.17	2020-01-23_13:30:21	1587	0	1	1
/sw/build	maven/3.6.0	maven	3.6.0	2019-03-21_15:14:54	1895	0	0	1
/sw/build	meson/0.49.2	meson	0.49.2	2019-03-06_13:07:57	1910	0	0	1
/sw/build	meson/0.57.2	meson	0.57.2	2021-04-29_16:43:32	1125	0	1	1
/sw/build	meson/1.1.0	meson	1.1.0	2023-05-15_14:51:50	379	1	1	1
/sw/build	ninja/1.10.0	ninja	1.10.0	2021-04-29_16:52:15	1125	0	1	1
/sw/build	ninja/1.9.0	ninja	1.9.0	2019-03-06_12:44:49	1910	0	0	1
/sw/build	SCons/2.5.0	SCons	2.5.0	2018-09-25_13:32:23	2072	0	0	1
/sw/build	spack-user/0.17.1	spack-user	0.17.1	2022-04-13_14:02:49	776	1	1	1
/sw/build	spack/0.17.1	spack	0.17.1	2022-04-12_09:51:34	777	1	1	1
