base_dir	version_subdir	module	version	mod_time	mod_days	mod_3y	mod_5y	mod_10y
/sw/libs	apr-util/1.6.1	apr-util	1.6.1	2020-04-27_11:33:13	1492	0	1	1
/sw/libs	apr/1.7.0	apr	1.7.0	2020-04-27_11:10:41	1492	0	1	1
/sw/libs	apr/build-1	apr	build-1	2020-03-03_16:21:39	1547	0	1	1
/sw/libs	Armadillo/7.900.0	Armadillo	7.900.0	2023-04-18_16:44:59	406	1	1	1
/sw/libs	Armadillo/9.700.2	Armadillo	9.700.2	2022-03-08_11:26:07	812	1	1	1
/sw/libs	ARPACK-NG/3.8.0	ARPACK-NG	3.8.0	2021-08-18_15:07:06	1014	1	1	1
/sw/libs	ATLAS/3.10.3	ATLAS	3.10.3	2022-03-08_14:42:07	812	1	1	1
/sw/libs	blas/3.6.0	blas	3.6.0	2018-09-25_14:28:12	2072	0	0	1
/sw/libs	boost/1.41.0_gcc9.3.0	boost	1.41.0_gcc9.3.0	2022-07-05_08:41:13	693	1	1	1
/sw/libs	boost/1.44.0	boost	1.44.0	2010-11-10_10:05:23	4948	0	0	0
/sw/libs	boost/1.45.0	boost	1.45.0	2022-05-19_12:04:35	740	1	1	1
/sw/libs	boost/1.55.0	boost	1.55.0	2018-08-01_16:39:24	2127	0	0	1
/sw/libs	boost/1.55.0_gcc4.8.3	boost	1.55.0_gcc4.8.3	2024-05-27_18:15:40	1	1	1	1
/sw/libs	boost/1.58.0-gcc8.3.0	boost	1.58.0-gcc8.3.0	2019-11-21_13:30:48	1650	0	1	1
/sw/libs	boost/1.59.0_gcc4.9.2	boost	1.59.0_gcc4.9.2	2024-05-27_18:14:35	1	1	1	1
/sw/libs	boost/1.59.0_intel15.3	boost	1.59.0_intel15.3	2017-09-17_11:49:13	2445	0	0	1
/sw/libs	boost/1.60.0_gcc5.3.0	boost	1.60.0_gcc5.3.0	2020-11-30_15:44:01	1275	0	1	1
/sw/libs	boost/1.61.0_gcc5.3.0	boost	1.61.0_gcc5.3.0	2024-05-27_18:14:19	1	1	1	1
/sw/libs	boost/1.63.0_gcc6.3.0	boost	1.63.0_gcc6.3.0	2024-05-27_18:13:59	1	1	1	1
/sw/libs	boost/1.63.0_gcc6.3.0_mpi2.0.2	boost	1.63.0_gcc6.3.0_mpi2.0.2	2018-09-25_13:32:40	2072	0	0	1
/sw/libs	boost/1.63.0_intel17.1	boost	1.63.0_intel17.1	2018-09-25_13:32:31	2072	0	0	1
/sw/libs	boost/1.66.0	boost	1.66.0	2019-10-04_17:11:13	1698	0	1	1
/sw/libs	boost/1.66.0-gcc8.3.0	boost	1.66.0-gcc8.3.0	2019-10-04_17:42:56	1698	0	1	1
/sw/libs	boost/1.70.0_gcc9.1.0	boost	1.70.0_gcc9.1.0	2019-08-12_15:49:03	1751	0	1	1
/sw/libs	boost/1.70.0_gcc9.1.0_mpi3.1.3	boost	1.70.0_gcc9.1.0_mpi3.1.3	2019-08-12_17:19:41	1751	0	1	1
/sw/libs	boost/1.70.0_gcc9.3.0	boost	1.70.0_gcc9.3.0	2022-06-03_10:18:08	725	1	1	1
/sw/libs	boost/1.70.0_gcc9.3.0_mpi3.1.5	boost	1.70.0_gcc9.3.0_mpi3.1.5	2021-01-18_17:24:06	1226	0	1	1
/sw/libs	boost/1.70.0_intel18.3	boost	1.70.0_intel18.3	2019-08-19_14:34:26	1744	0	1	1
/sw/libs	boost/1.70.0_intel18.3_intelmpi18.3	boost	1.70.0_intel18.3_intelmpi18.3	2019-09-26_17:21:51	1706	0	1	1
/sw/libs	boost/1.70.0_intel18.3_mpi3.1.3	boost	1.70.0_intel18.3_mpi3.1.3	2019-08-14_13:49:08	1749	0	1	1
/sw/libs	boost/1.75.0-gcc9.3.0	boost	1.75.0-gcc9.3.0	2021-04-08_17:27:46	1146	0	1	1
/sw/libs	boost/1.78.0_gcc11.2.0	boost	1.78.0_gcc11.2.0	2022-02-21_09:46:25	827	1	1	1
/sw/libs	boost/1.78.0_gcc11.2.0_mpi4.1.2	boost	1.78.0_gcc11.2.0_mpi4.1.2	2022-02-21_09:59:43	827	1	1	1
/sw/libs	boost/1.79.0_gcc11.2.0_mpi4.1.2	boost	1.79.0_gcc11.2.0_mpi4.1.2	2022-07-15_08:18:05	683	1	1	1
/sw/libs	boost/1.81.0-gcc10.3.0	boost	1.81.0-gcc10.3.0	2023-02-09_11:22:43	474	1	1	1
/sw/libs	boost/1.81.0-gcc10.3.0-mpi4.1.1	boost	1.81.0-gcc10.3.0-mpi4.1.1	2023-02-09_12:07:42	474	1	1	1
/sw/libs	boost/1.83.0-gcc12.3.0	boost	1.83.0-gcc12.3.0	2023-08-18_11:14:42	284	1	1	1
/sw/libs	boost/1.83.0-gcc12.3.0-mpi4.1.5	boost	1.83.0-gcc12.3.0-mpi4.1.5	2023-08-18_11:39:01	284	1	1	1
/sw/libs	bzip2/1.0.6	bzip2	1.0.6	2022-03-22_17:37:00	798	1	1	1
/sw/libs	bzip2/1.0.8	bzip2	1.0.8	2022-09-20_14:35:19	616	1	1	1
/sw/libs	cairo/1.14.12	cairo	1.14.12	2022-03-22_17:42:00	798	1	1	1
/sw/libs	cairo/1.14.8	cairo	1.14.8	2022-03-22_17:42:00	798	1	1	1
/sw/libs	cairo/1.17.2	cairo	1.17.2	2022-03-22_17:42:00	798	1	1	1
/sw/libs	cairo/1.17.4	cairo	1.17.4	2022-03-22_17:42:00	798	1	1	1
/sw/libs	capnproto/1.0.2	capnproto	1.0.2	2024-05-03_13:57:01	25	1	1	1
/sw/libs	clapack/3.2.1	clapack	3.2.1	2024-05-21_14:29:53	7	1	1	1
/sw/libs	cp2k-4.1-gcc-libs/build	cp2k-4.1-gcc-libs	build	2017-05-04_14:06:41	2581	0	0	1
/sw/libs	cp2k-4.1-gcc-libs/install	cp2k-4.1-gcc-libs	install	2017-05-04_14:06:41	2581	0	0	1
/sw/libs	cp2k-4.1-gcc-libs/scripts	cp2k-4.1-gcc-libs	scripts	2017-05-04_10:25:17	2581	0	0	1
/sw/libs	cp2k-4.1-intel-libs/build	cp2k-4.1-intel-libs	build	2017-05-04_15:51:53	2581	0	0	1
/sw/libs	cp2k-4.1-intel-libs/install	cp2k-4.1-intel-libs	install	2017-05-04_15:51:53	2581	0	0	1
/sw/libs	cp2k-4.1-intel-libs/scripts	cp2k-4.1-intel-libs	scripts	2017-05-04_10:25:17	2581	0	0	1
/sw/libs	cuDNN/8.1.0.77	cuDNN	8.1.0.77	2023-10-17_21:03:27	224	1	1	1
/sw/libs	cuDNN/8.4.1.50	cuDNN	8.4.1.50	2023-10-17_12:06:45	224	1	1	1
/sw/libs	cuDNN/8.6.0.163	cuDNN	8.6.0.163	2023-10-17_14:47:16	224	1	1	1
/sw/libs	cuDNN/8.7.0.84	cuDNN	8.7.0.84	2023-10-17_14:56:51	224	1	1	1
/sw/libs	cuDNN/8.8.0.121	cuDNN	8.8.0.121	2023-10-17_15:57:54	224	1	1	1
/sw/libs	cuDNN/8.9.2.26	cuDNN	8.9.2.26	2023-10-17_16:08:25	224	1	1	1
/sw/libs	cyrus-sasl/2.1.27	cyrus-sasl	2.1.27	2020-04-27_13:29:13	1492	0	1	1
/sw/libs	cyrus-sasl/2.1.28	cyrus-sasl	2.1.28	2023-02-09_13:28:04	474	1	1	1
/sw/libs	deal.II/8.4.2	deal.II	8.4.2	2019-11-29_15:25:45	1642	0	1	1
/sw/libs	dlib/19.15	dlib	19.15	2018-08-30_10:21:15	2098	0	0	1
/sw/libs	dlib/19.23	dlib	19.23	2022-09-29_14:21:18	607	1	1	1
/sw/libs	ecCodes/2.13.1	ecCodes	2.13.1	2019-09-13_15:46:21	1719	0	1	1
/sw/libs	edlib/1.2.7	edlib	1.2.7	2024-04-23_16:23:06	35	1	1	1
/sw/libs	Eigen/3.3.4	Eigen	3.3.4	2018-09-25_14:28:11	2072	0	0	1
/sw/libs	fftw/3.3.8	fftw	3.3.8	2020-03-31_15:15:40	1519	0	1	1
/sw/libs	freetype/2.10.1	freetype	2.10.1	2023-02-09_14:15:36	474	1	1	1
/sw/libs	freetype/2.12.1	freetype	2.12.1	2023-02-09_14:09:48	474	1	1	1
/sw/libs	freetype/2.6	freetype	2.6	2019-09-03_11:31:38	1729	0	1	1
/sw/libs	freetype/2.7.1	freetype	2.7.1	2023-02-09_14:15:45	474	1	1	1
/sw/libs	fsl/6.0	fsl	6.0	2018-11-14_11:42:34	2022	0	0	1
/sw/libs	FYBA/4.1.1	FYBA	4.1.1	2018-09-25_14:28:11	2072	0	0	1
/sw/libs	GEOS/3.11.0-gcc10.3.0	GEOS	3.11.0-gcc10.3.0	2022-10-04_14:19:01	602	1	1	1
/sw/libs	GEOS/3.11.2-gcc12.2.0	GEOS	3.11.2-gcc12.2.0	2023-05-22_16:08:38	372	1	1	1
/sw/libs	GEOS/3.12.0-gcc12.3.0	GEOS	3.12.0-gcc12.3.0	2023-09-25_12:03:23	246	1	1	1
/sw/libs	GEOS/3.5.0	GEOS	3.5.0	2018-09-25_14:28:11	2072	0	0	1
/sw/libs	GEOS/3.9.1-gcc9.3.0	GEOS	3.9.1-gcc9.3.0	2021-04-13_11:11:07	1141	0	1	1
/sw/libs	giflib/5.1.4	giflib	5.1.4	2018-09-25_14:28:14	2072	0	0	1
/sw/libs	glib/2.72.1	glib	2.72.1	2022-05-11_13:43:13	748	1	1	1
/sw/libs	glpk/4.63	glpk	4.63	2018-09-28_14:45:12	2069	0	0	1
/sw/libs	glpk/4.65	glpk	4.65	2018-09-28_14:57:30	2069	0	0	1
/sw/libs	glpk/5.0	glpk	5.0	2023-04-13_17:04:15	411	1	1	1
/sw/libs	GMP/6.2.1	GMP	6.2.1	2021-01-18_13:47:02	1226	0	1	1
/sw/libs	GMP/6.3.0	GMP	6.3.0	2023-09-30_20:35:52	241	1	1	1
/sw/libs	gsl/1.16	gsl	1.16	2020-09-23_11:14:42	1343	0	1	1
/sw/libs	gsl/2.1	gsl	2.1	2020-09-23_11:02:11	1343	0	1	1
/sw/libs	gsl/2.3	gsl	2.3	2020-09-23_11:00:02	1343	0	1	1
/sw/libs	gsl/2.5	gsl	2.5	2020-09-23_10:59:54	1343	0	1	1
/sw/libs	gsl/2.6	gsl	2.6	2020-09-23_10:59:41	1343	0	1	1
/sw/libs	gsl/2.7	gsl	2.7	2022-10-04_15:18:56	602	1	1	1
/sw/libs	gstreamer/0.10.31	gstreamer	0.10.31	2017-05-18_21:16:34	2567	0	0	1
/sw/libs	hdf4/4.2.11_gcc4.9.2	hdf4	4.2.11_gcc4.9.2	2018-09-25_14:28:15	2072	0	0	1
/sw/libs	hdf4/4.2.14-gcc6.3.0	hdf4	4.2.14-gcc6.3.0	2019-12-09_17:29:01	1632	0	1	1
/sw/libs	hdf5/1.10.1	hdf5	1.10.1	2022-10-07_09:12:20	599	1	1	1
/sw/libs	hdf5/1.10.5	hdf5	1.10.5	2019-08-13_15:19:41	1750	0	1	1
/sw/libs	hdf5/1.10.5-threadsafe-intel18.3	hdf5	1.10.5-threadsafe-intel18.3	2019-09-05_13:25:52	1727	0	1	1
/sw/libs	hdf5/1.10.9	hdf5	1.10.9	2023-02-03_10:38:12	480	1	1	1
/sw/libs	hdf5/1.14.0	hdf5	1.14.0	2023-04-17_15:23:17	407	1	1	1
/sw/libs	hdf5/1.8.16_gcc4.9.2	hdf5	1.8.16_gcc4.9.2	2017-09-12_16:49:34	2450	0	0	1
/sw/libs	hdf5/1.8.16_gcc5.3.0	hdf5	1.8.16_gcc5.3.0	2017-09-12_16:49:48	2450	0	0	1
/sw/libs	hdf5/1.8.18	hdf5	1.8.18	2018-09-25_14:28:15	2072	0	0	1
/sw/libs	hdf5/1.8.18_gcc6.3.0	hdf5	1.8.18_gcc6.3.0	2018-09-25_14:28:15	2072	0	0	1
/sw/libs	jansson/2.12	jansson	2.12	2020-04-29_11:09:38	1490	0	1	1
/sw/libs	JasPer/2.0.14	JasPer	2.0.14	2023-02-10_17:09:12	473	1	1	1
/sw/libs	JasPer/4.0.0	JasPer	4.0.0	2023-02-10_16:59:02	473	1	1	1
/sw/libs	jemalloc/3.6.0	jemalloc	3.6.0	2023-05-31_09:43:52	363	1	1	1
/sw/libs	jemalloc/5.0.1	jemalloc	5.0.1	2023-05-31_09:43:31	363	1	1	1
/sw/libs	jemalloc/5.3.0	jemalloc	5.3.0	2024-01-29_14:26:15	120	1	1	1
/sw/libs	JsonCpp/1.9.5	JsonCpp	1.9.5	2023-07-10_17:37:42	323	1	1	1
/sw/libs	lapack/3.6.1	lapack	3.6.1	2024-05-21_14:10:12	7	1	1	1
/sw/libs	libarchive/3.6.2	libarchive	3.6.2	2023-05-28_13:05:43	366	1	1	1
/sw/libs	libb2/0.98.1	libb2	0.98.1	2023-05-28_13:55:04	366	1	1	1
/sw/libs	libcurl/7.45.0	libcurl	7.45.0	2022-03-22_17:40:28	798	1	1	1
/sw/libs	libcurl/7.85.0	libcurl	7.85.0	2022-09-19_14:37:52	617	1	1	1
/sw/libs	libcurl/8.4.0	libcurl	8.4.0	2023-10-13_13:59:02	228	1	1	1
/sw/libs	libdeflate/1.19	libdeflate	1.19	2023-09-18_10:45:19	253	1	1	1
/sw/libs	libgeotiff/1.4.1	libgeotiff	1.4.1	2019-06-12_15:00:47	1812	0	1	1
/sw/libs	libgeotiff/1.4.3	libgeotiff	1.4.3	2019-09-13_17:06:45	1719	0	1	1
/sw/libs	libgeotiff/1.7.1	libgeotiff	1.7.1	2023-02-13_15:01:21	470	1	1	1
/sw/libs	libharu/2.3.0	libharu	2.3.0	2018-09-25_14:28:16	2072	0	0	1
/sw/libs	libicu/5.2-4	libicu	5.2-4	2022-03-31_12:48:42	789	1	1	1
/sw/libs	liblzma/5.2.2	liblzma	5.2.2	2016-03-29_20:55:02	2982	0	0	1
/sw/libs	librdf/1.0.17	librdf	1.0.17	2023-05-28_20:44:00	366	1	1	1
/sw/libs	librsvg/2.48.4	librsvg	2.48.4	2020-05-08_10:12:20	1481	0	1	1
/sw/libs	libSBML/5.19.0	libSBML	5.19.0	2023-05-28_22:50:29	366	1	1	1
/sw/libs	libSBML/5.20.0	libSBML	5.20.0	2023-04-17_14:08:44	407	1	1	1
/sw/libs	libSBML/5.20.2	libSBML	5.20.2	2023-10-01_20:32:00	240	1	1	1
/sw/libs	libsodium/1.0.18-stable	libsodium	1.0.18-stable	2021-03-08_12:53:34	1177	0	1	1
/sw/libs	libtiff/4.5.0	libtiff	4.5.0	2023-01-10_12:06:34	504	1	1	1
/sw/libs	libwebp/1.0.3	libwebp	1.0.3	2023-02-10_16:01:58	473	1	1	1
/sw/libs	libwebp/1.2.0	libwebp	1.2.0	2021-03-05_12:55:43	1180	0	1	1
/sw/libs	libwebp/1.3.0	libwebp	1.3.0	2023-02-10_15:58:53	473	1	1	1
/sw/libs	libzmq/4.3.4	libzmq	4.3.4	2021-03-08_12:23:50	1177	0	1	1
/sw/libs	lpsolve/5.5.2.9	lpsolve	5.5.2.9	2020-12-15_15:50:17	1260	0	1	1
/sw/libs	lz4/1.9.2	lz4	1.9.2	2023-05-28_13:31:41	366	1	1	1
/sw/libs	lzo/2.10	lzo	2.10	2020-10-19_10:51:16	1317	0	1	1
/sw/libs	Magics/3.3.1	Magics	3.3.1	2019-10-04_16:44:23	1698	0	1	1
/sw/libs	Magics/3.3.1-intel18.3	Magics	3.3.1-intel18.3	2019-09-16_14:53:51	1716	0	1	1
