base_dir	version_subdir	module	version	mod_time	mod_days	mod_3y	mod_5y	mod_10y
/sw/parallel	gnuparallel/20140222	gnuparallel	20140222	2014-03-07_12:02:49	3735	0	0	0
/sw/parallel	gnuparallel/20150522	gnuparallel	20150522	2016-05-25_17:22:15	2925	0	0	1
/sw/parallel	gnuparallel/20170122	gnuparallel	20170122	2018-09-20_14:53:18	2077	0	0	1
/sw/parallel	gnuparallel/20180822	gnuparallel	20180822	2018-09-20_14:43:10	2077	0	0	1
/sw/parallel	gnuparallel/20230422	gnuparallel	20230422	2023-05-16_11:33:52	378	1	1	1
/sw/parallel	mpich/2-1.0-gcc	mpich	2-1.0-gcc	2014-09-16_16:05:05	3542	0	0	1
/sw/parallel	mpich/2-1.5-gcc	mpich	2-1.5-gcc	2014-06-16_10:57:11	3634	0	0	1
/sw/parallel	mpich/3.0.4-gcc	mpich	3.0.4-gcc	2014-06-16_10:57:11	3634	0	0	1
/sw/parallel	mpich/3.0.4-intel	mpich	3.0.4-intel	2014-06-16_10:57:11	3634	0	0	1
/sw/parallel	mpich/3.1.2-gcc	mpich	3.1.2-gcc	2014-09-18_14:23:04	3540	0	0	1
/sw/parallel	mpich/3.1.2-intel	mpich	3.1.2-intel	2014-09-18_15:35:28	3540	0	0	1
/sw/parallel	mpich/mpich-3.1.2	mpich	mpich-3.1.2	2014-09-18_15:19:47	3540	0	0	1
/sw/parallel	mpich/mpich2-1.0	mpich	mpich2-1.0	2014-09-16_16:09:20	3542	0	0	1
/sw/parallel	mpjexpress/download	mpjexpress	download	2011-11-30_22:32:33	4563	0	0	0
/sw/parallel	mpjexpress/v0.38	mpjexpress	v0.38	2011-12-02_14:42:03	4561	0	0	0
/sw/parallel	mpjexpress/v0.38.old	mpjexpress	v0.38.old	2011-11-30_22:33:45	4563	0	0	0
/sw/parallel	openmpi/bianca-centos7	openmpi	bianca-centos7	2023-11-08_13:51:57	202	1	1	1
/sw/parallel	openmpi/halvan-sl6	openmpi	halvan-sl6	2014-03-18_09:18:49	3724	0	0	0
/sw/parallel	openmpi/irma-centos7	openmpi	irma-centos7	2021-08-12_08:18:32	1020	1	1	1
/sw/parallel	openmpi/kalkyl	openmpi	kalkyl	2010-10-15_15:05:59	4974	0	0	0
/sw/parallel	openmpi/kalkyl-sl6	openmpi	kalkyl-sl6	2015-04-23_14:57:54	3323	0	0	1
/sw/parallel	openmpi/miarka-rocky8	openmpi	miarka-rocky8	2022-08-26_08:17:55	641	1	1	1
/sw/parallel	openmpi/milou	openmpi	milou	2015-04-23_14:57:54	3323	0	0	1
/sw/parallel	openmpi/milou-sl6	openmpi	milou-sl6	2018-05-09_10:10:11	2211	0	0	1
/sw/parallel	openmpi/nestor	openmpi	nestor	2015-04-23_14:57:54	3323	0	0	1
/sw/parallel	openmpi/nestor-sl6	openmpi	nestor-sl6	2018-05-09_10:10:11	2211	0	0	1
/sw/parallel	openmpi/rackham-centos7	openmpi	rackham-centos7	2023-10-26_09:36:05	215	1	1	1
/sw/parallel	openmpi/snowy-centos7	openmpi	snowy-centos7	2023-10-26_09:57:51	215	1	1	1
/sw/parallel	openmpi/tintin-sl6	openmpi	tintin-sl6	2017-02-06_11:47:54	2668	0	0	1
/sw/parallel	openmpi/user	openmpi	user	2010-10-15_15:05:59	4974	0	0	0
