base_dir	version_subdir	module	version	mod_time	mod_days	mod_3y	mod_5y	mod_10y
/sw/apps	ab_wtp/1.1	ab_wtp	1.1	2014-06-16_10:47:21	3634	0	0	1
/sw/apps	agrep/3.41.5	agrep	3.41.5	2018-09-25_13:32:09	2072	0	0	1
/sw/apps	alphafold/2.0.0	alphafold	2.0.0	2021-09-24_09:45:02	977	1	1	1
/sw/apps	alphafold/2.1.1	alphafold	2.1.1	2021-11-11_08:55:50	929	1	1	1
/sw/apps	alphafold/2.3.1	alphafold	2.3.1	2023-04-12_13:56:29	412	1	1	1
/sw/apps	alphafold_dataset/2.1.1	alphafold_dataset	2.1.1	2021-11-11_08:54:08	929	1	1	1
/sw/apps	ALPS/2.3.0	ALPS	2.3.0	2019-10-14_17:29:32	1688	0	1	1
/sw/apps	Amber/16-GPU	Amber	16-GPU	2020-04-21_09:54:18	1498	0	1	1
/sw/apps	Amber/18-GPU	Amber	18-GPU	2020-04-21_09:54:18	1498	0	1	1
/sw/apps	Amber/20	Amber	20	2022-02-10_14:59:43	838	1	1	1
/sw/apps	Amber/20-GPU	Amber	20-GPU	2024-02-21_14:24:38	97	1	1	1
/sw/apps	Amber_previous/amber-previously	Amber_previous	amber-previously	2019-05-30_14:57:13	1825	0	0	1
/sw/apps	Amber_previous/amber18	Amber_previous	amber18	2019-04-05_14:47:34	1880	0	0	1
/sw/apps	Amber_previous/ambertools18_rackham_intel_python2	Amber_previous	ambertools18_rackham_intel_python2	2021-12-15_11:51:13	895	1	1	1
/sw/apps	Ansys/19.1	Ansys	19.1	2019-04-16_09:23:05	1869	0	0	1
/sw/apps	Ansys/19.5	Ansys	19.5	2019-12-09_20:10:17	1632	0	1	1
/sw/apps	Ansys/2020R1	Ansys	2020R1	2020-04-22_13:49:41	1497	0	1	1
/sw/apps	Ansys/2023R2	Ansys	2023R2	2023-11-23_14:11:39	187	1	1	1
/sw/apps	aria2/1.36	aria2	1.36	2023-01-30_11:09:54	484	1	1	1
/sw/apps	Armadillo/12.0.1	Armadillo	12.0.1	2023-02-22_20:23:28	461	1	1	1
/sw/apps	Armadillo/9.700.2	Armadillo	9.700.2	2020-04-24_17:17:31	1495	0	1	1
/sw/apps	ascp/4.2.0.183804_deprecated	ascp	4.2.0.183804_deprecated	2023-05-09_12:58:30	385	1	1	1
/sw/apps	ascp/4.4.3.891	ascp	4.4.3.891	2024-03-15_20:49:05	74	1	1	1
/sw/apps	awscli/1.11.140	awscli	1.11.140	2021-08-31_13:56:07	1001	1	1	1
/sw/apps	awscli/1.16.225	awscli	1.16.225	2019-08-26_13:50:46	1737	0	1	1
/sw/apps	awscli/1.29.52	awscli	1.29.52	2023-09-22_14:36:31	249	1	1	1
/sw/apps	bench/hpl	bench	hpl	2009-12-15_14:32:35	5278	0	0	0
/sw/apps	bioscope/1.0.1none	bioscope	1.0.1none	2013-11-05_14:21:00	3857	0	0	0
/sw/apps	bioscope/1.0.1pbs	bioscope	1.0.1pbs	2010-06-11_09:03:22	5100	0	0	0
/sw/apps	bioscope/1.2.0	bioscope	1.2.0	2014-06-16_10:47:47	3634	0	0	1
/sw/apps	BLAKE2/20230212-ed1974e	BLAKE2	20230212-ed1974e	2023-05-28_14:26:00	366	1	1	1
/sw/apps	CDO/1.9.7.1	CDO	1.9.7.1	2019-09-17_12:58:17	1715	0	1	1
/sw/apps	CDO/1.9.7.1-intel18.3	CDO	1.9.7.1-intel18.3	2019-09-17_12:03:09	1715	0	1	1
/sw/apps	circos/0.69-9	circos	0.69-9	2019-08-21_16:44:43	1742	0	1	1
/sw/apps	COIN-OR-OptimizationSuite/1.8.0	COIN-OR-OptimizationSuite	1.8.0	2023-11-17_16:10:01	193	1	1	1
/sw/apps	colmap/3.4-1a8eb0c	colmap	3.4-1a8eb0c	2018-09-25_13:33:43	2072	0	0	1
/sw/apps	comsol/x86_64	comsol	x86_64	2024-01-17_11:52:28	132	1	1	1
/sw/apps	conda/envs	conda	envs	2024-03-22_13:43:33	67	1	1	1
/sw/apps	conda/latest	conda	latest	2024-02-28_16:15:53	90	1	1	1
/sw/apps	conda/local_repo	conda	local_repo	2024-04-10_21:15:35	48	1	1	1
/sw/apps	conda/test	conda	test	2024-02-28_16:15:53	90	1	1	1
/sw/apps	coreutils/8.25	coreutils	8.25	2017-09-06_17:57:41	2456	0	0	1
/sw/apps	coreutils/8.27	coreutils	8.27	2018-09-25_13:33:44	2072	0	0	1
/sw/apps	coreutils/9.1	coreutils	9.1	2023-03-11_11:52:22	444	1	1	1
/sw/apps	corona_lite/x86_64	corona_lite	x86_64	2009-03-16_13:30:37	5552	0	0	0
/sw/apps	cowsay/3.03	cowsay	3.03	2019-06-17_12:51:02	1807	0	1	1
/sw/apps	cp2k/8.1-gcc	cp2k	8.1-gcc	2021-07-06_08:28:34	1057	1	1	1
/sw/apps	cp2k/cp2k-4.1-gcc	cp2k	cp2k-4.1-gcc	2017-05-04_14:42:32	2581	0	0	1
/sw/apps	cp2k/cp2k-6.1-gcc	cp2k	cp2k-6.1-gcc	2019-08-27_11:40:21	1736	0	1	1
/sw/apps	CPLEXOptimizationStudio/12.9.0	CPLEXOptimizationStudio	12.9.0	2022-03-18_15:31:33	802	1	1	1
/sw/apps	CPLEXOptimizationStudio/20.10	CPLEXOptimizationStudio	20.10	2022-03-18_14:57:49	802	1	1	1
/sw/apps	Cromwell/71	Cromwell	71	2021-11-10_08:33:35	930	1	1	1
/sw/apps	Cromwell/86	Cromwell	86	2024-02-21_09:45:06	97	1	1	1
/sw/apps	CS-Rosetta/1.01_Rosetta_3.7	CS-Rosetta	1.01_Rosetta_3.7	2019-10-28_14:16:56	1674	0	1	1
/sw/apps	CST_Studio/2023.0	CST_Studio	2023.0	2023-10-18_15:42:04	223	1	1	1
/sw/apps	darsync/20240208-7ff09d9	darsync	20240208-7ff09d9	2024-02-08_09:51:55	110	1	1	1
/sw/apps	DBdeployer/latest	DBdeployer	latest	2022-09-06_10:48:54	630	1	1	1
